,ID,UMIN_ID,Japic_ID,JMA_ID,jRCT_ID
21023,UMIN000029981,UMIN000029981,,,
21035,UMIN000031424,UMIN000031424,,,
21050,UMIN000031508,UMIN000031508,,,
21067,UMIN000031532,UMIN000031532,,,
21074,UMIN000031534,UMIN000031534,,,
21090,UMIN000030533,UMIN000030533,,,
21094,UMIN000030030,UMIN000030030,,,
21103,UMIN000031451,UMIN000031451,,,
21118,UMIN000031500,UMIN000031500,,,
21128,UMIN000031492,UMIN000031492,,,
21209,UMIN000031386,UMIN000031386,,,
21211,UMIN000030884,UMIN000030884,,,
21256,UMIN000031317,UMIN000031317,,,
21290,UMIN000031302,UMIN000031302,,,
21356,UMIN000031054,UMIN000031054,,,
21376,UMIN000031165,UMIN000031165,,,
21379,UMIN000031164,UMIN000031164,,,
21395,UMIN000031159,UMIN000031159,,,
21398,UMIN000031134,UMIN000031134,,,
21403,UMIN000031117,UMIN000031117,,,
21407,UMIN000031115,UMIN000031115,,,
21419,UMIN000031102,UMIN000031102,,,
21424,UMIN000030761,UMIN000030761,,,
21428,UMIN000031003,UMIN000031003,,,
21462,UMIN000031096,UMIN000031096,,,
21464,UMIN000030766,UMIN000030766,,,
21467,UMIN000031106,UMIN000031106,,,
21470,UMIN000029947,UMIN000029947,,,
21479,UMIN000030365,UMIN000030365,,,
21482,UMIN000031104,UMIN000031104,,,
21490,UMIN000031072,UMIN000031072,,,
21525,UMIN000031040,UMIN000031040,,,
21528,UMIN000031039,UMIN000031039,,,
21537,UMIN000030883,UMIN000030883,,,
21554,UMIN000031012,UMIN000031012,,,
21565,UMIN000030998,UMIN000030998,,,
21583,UMIN000030974,UMIN000030974,,,
21588,UMIN000030962,UMIN000030962,,,
21599,UMIN000030972,UMIN000030972,,,
21600,UMIN000030973,UMIN000030973,,,
21606,UMIN000030950,UMIN000030950,,,
21615,UMIN000030946,UMIN000030946,,,
21644,UMIN000030909,UMIN000030909,,,
21652,UMIN000030848,UMIN000030848,,,
21657,UMIN000030492,UMIN000030492,,,
21684,UMIN000030849,UMIN000030849,,,
21714,UMIN000030804,UMIN000030804,,,
21715,UMIN000029957,UMIN000029957,,,
21717,UMIN000030743,UMIN000030743,,,
21724,UMIN000030805,UMIN000030805,,,
21732,UMIN000030314,UMIN000030314,,,
21734,UMIN000030796,UMIN000030796,,,
21735,UMIN000030795,UMIN000030795,,,
21795,UMIN000030727,UMIN000030727,,,
21806,UMIN000030077,UMIN000030077,,,
21840,UMIN000030343,UMIN000030343,,,
21852,UMIN000029975,UMIN000029975,,,
21861,UMIN000030570,UMIN000030570,,,
21866,UMIN000029952,UMIN000029952,,,
21911,UMIN000030636,UMIN000030636,,,
21922,UMIN000030545,UMIN000030545,,,
21940,UMIN000030514,UMIN000030514,,,
21955,UMIN000029835,UMIN000029835,,,
21970,UMIN000030647,UMIN000030647,,,
21982,UMIN000030609,UMIN000030609,,,
22002,UMIN000030598,UMIN000030598,,,
22009,UMIN000030363,UMIN000030363,,,
22011,UMIN000030575,UMIN000030575,,,
22025,UMIN000030551,UMIN000030551,,,
22063,UMIN000030522,UMIN000030522,,,
22127,UMIN000030015,UMIN000030015,,,
22161,UMIN000030355,UMIN000030355,,,
22171,UMIN000030372,UMIN000030372,,,
22179,UMIN000030386,UMIN000030386,,,
22199,UMIN000030252,UMIN000030252,,,
22246,UMIN000030296,UMIN000030296,,,
22335,UMIN000030158,UMIN000030158,,,
22361,UMIN000030068,UMIN000030068,,,
22382,UMIN000029294,UMIN000029294,,,
22415,UMIN000029647,UMIN000029647,,,
22451,UMIN000030128,UMIN000030128,,,
22458,UMIN000030108,UMIN000030108,,,
22468,UMIN000030091,UMIN000030091,,,
22487,UMIN000029905,UMIN000029905,,,
22492,UMIN000030055,UMIN000030055,,,
22500,UMIN000029991,UMIN000029991,,,
22516,UMIN000029976,UMIN000029976,,,
22537,UMIN000030018,UMIN000030018,,,
22594,UMIN000029926,UMIN000029926,,,
22731,UMIN000029669,UMIN000029669,,,
22733,UMIN000029757,UMIN000029757,,,
22743,UMIN000029770,UMIN000029770,,,
22771,UMIN000029368,UMIN000029368,,,
22772,UMIN000029709,UMIN000029709,,,
22774,UMIN000029787,UMIN000029787,,,
22778,UMIN000029101,UMIN000029101,,,
22795,UMIN000029525,UMIN000029525,,,
22796,UMIN000029531,UMIN000029531,,,
22865,UMIN000029668,UMIN000029668,,,
22940,UMIN000029609,UMIN000029609,,,
22985,UMIN000029376,UMIN000029376,,,
22987,UMIN000029537,UMIN000029537,,,
22994,UMIN000029562,UMIN000029562,,,
23017,UMIN000029533,UMIN000029533,,,
23051,UMIN000029401,UMIN000029401,,,
23052,UMIN000029403,UMIN000029403,,,
23073,UMIN000029144,UMIN000029144,,,
23074,UMIN000029478,UMIN000029478,,,
23075,UMIN000029490,UMIN000029490,,,
23124,UMIN000029412,UMIN000029412,,,
